工	aaa
匿	aad
芽	aah
苣	aan
荛	aat
藏	aau
式	aay
荫	abe
蒸	abi
茁	abm
芤	abn
萨	abu
芨	aby
茎	aca
苔	ack
茅	acn
莽	ada
苊	adb
茇	adc
蓐	adf
葳	adg
荐	adh
若	adk
项	adm
葚	adw
茏	adx
菔	aeb
荔	aee
苴	aeg
茄	aek
藐	aer
菜	aes
散	aet
藤	aeu
荽	aev
苏	aew
鞯	afa
靶	afc
薷	afd
勒	afe
蒜	afi
靼	afj
薹	afk
蕾	afl
贰	afm
苇	afn
鞍	afp
芜	afq
靳	afr
藉	afs
著	aft
蔷	afu
鞭	afw
甙	afy
荆	aga
菁	age
芋	agf
蔫	agh
蕙	agj
芾	agm
葬	agq
茉	ags
廾	agt
萋	agv
荑	agx
菲	ahd
蘧	ahg
菽	ahi
颐	ahk
臣	ahn
邪	aht
牙	aht
茈	ahx
茳	aia
范	aib
菹	aie
萍	aig
莎	aii
藻	aik
荡	ain
鸫	aiq
蒎	air
蒲	ais
蔽	ait
茫	aiy
蕞	ajb
莫	ajd
萌	aje
蔓	ajl
葛	ajq
蓝	ajt
郾	ajv
葺	akb
勤	akg
匮	akh
颧	akk
莴	akm
燕	aku
蔑	ala
茵	ald
薯	alf
葸	aln
莲	alp
萝	alq
菌	alt
匦	alv
英	amd
苒	amf
茼	amg
匝	amh
苘	amk
苋	amq
黄	amw
苠	ana
蔚	anf
蔬	anh
薜	ank
贳	anm
蕊	ann
蓼	anw
忒	any
蔗	aoa
蘼	aos
蘑	aos
蒌	aov
菪	apd
劳	ape
蒙	apf
莹	apg
荥	api
萤	apj
营	apk
荤	apl
茕	apn
荧	apo
菀	apq
荣	aps
荦	apt
蓉	apw
萦	apx
芪	aqa
苑	aqb
萏	aqe
蓟	aqg
荀	aqj
警	aqk
苞	aqn
菊	aqo
葱	aqr
葡	aqs
萄	aqt
芡	aqw
芍	aqy
葩	arc
菝	ard
瓯	arg
欧	arq
萆	art
殴	arw
苯	asg
葙	ash
蕈	asj
苛	ask
菥	asr
菘	asw
苌	ata
莠	atb
医	atd
芊	atf
董	atg
蓰	ath
莉	atj
蓖	atl
薇	atm
薛	atn
蕃	ato
藜	atq
莪	atr
萎	atv
蘩	atx
臧	aua
蒴	aub
菩	auk
茨	auq
茭	aur
薪	aus
蒺	aut
蒹	auv
蔺	auw
菇	avd
荨	avf
萧	avh
茹	avk
芄	avy
苍	awb
蓊	awc
茯	awd
蔡	awf
葵	awg
莜	awh
芥	awj
葆	awk
巷	awn
茶	aws
荏	awt
莅	awu
芬	awv
巫	aww
花	awx
恐	awy
荭	axa
荮	axf
莼	axg
蕴	axj
药	axq
芗	axt
芘	axx
茺	ayc
苄	ayh
蔼	ayj
蓑	ayk
蒿	aym
芦	ayn
葶	ayp
鸢	ayq
蓠	ayr
蔟	ayt
蒂	ayu
莨	ayv
萃	ayw
蓄	ayx
陈	bai
子	bbb
陬	bbc
陉	bca
聂	bcc
聚	bci
盈	bcl
娶	bcv
隋	bda
随	bde
承	bdi
陌	bdj
颇	bdm
陇	bdx
阻	beg
孺	bfd
陡	bfh
际	bfi
阱	bfj
阮	bfq
陵	bfw
陆	bgb
耳	bgh
隔	bgk
陋	bgm
阢	bgq
陕	bgu
蚩	bhg
骘	bhh
鼐	bhn
函	bib
卺	big
隙	bij
逊	bip
陧	bjf
隅	bjm
隰	bjx
亟	bkc
聩	bkh
陨	bkm
职	bkw
勐	ble
隈	blg
祟	bmf
聘	bmg
粜	bmo
院	bpf
耽	bpq
聍	bps
陀	bpx
陷	bqe
孢	bqn
聊	bqt
隐	bqv
阪	brc
孤	brc
隍	brg
隗	brq
陴	brt
阿	bsk
聒	btd
阡	btf
隆	btg
阼	bth
联	bud
隧	bue
障	buj
陪	buk
隘	buw
附	bwf
除	bwg
阶	bwj
聆	bwy
陛	bxx
孩	byn
颈	cad
劲	cae
迳	cap
巯	cay
又	ccc
叁	cdd
毵	cde
参	cde
畚	cdl
犄	cds
勇	cee
通	cep
熊	cex
能	cex
犊	cfn
驱	cga
骤	cgb
驭	cgc
骑	cgd
驵	cge
骊	cgg
骒	cgj
驯	cgk
骡	cgl
骋	cgm
骣	cgn
驼	cgp
