戒	aak
茸	abf
邛	abh
节	abj
艿	abr
芭	acb
戎	ade
苦	adf
茂	adu
功	aet
苷	aff
芏	aff
革	afj
匡	agd
七	agn
匚	agn
芙	agu
芷	ahf
苜	ahf
东	aii
汞	aiu
昔	ajf
划	ajh
草	ajj
茧	aju
叵	akd
苗	alf
匣	alk
贡	amu
艺	anb
芑	anb
巨	and
芯	anu
世	anv
芝	apu
匹	aqv
区	ari
芹	arj
匠	ark
艾	aru
茜	asf
莆	asu
攻	aty
莘	auj
艽	avb
切	avt
茛	avu
戍	awi
共	awu
芎	axb
弋	ayi
芳	ayr
孕	bbf
耶	bbh
陂	bby
取	bcy
阴	beg
卫	bgd
耻	bhg
屮	bhk
尕	biu
孙	biy
阳	bjg
孟	blf
阵	blh
出	bmk
了	bnh
卩	bnh
阝	bnh
凵	bnh
孔	bnn
乃	bnt
耿	boy
辽	bpk
耵	bsh
孜	bty
限	bvy
队	bwy
及	byi
孓	byi
防	byt
弁	caj
戏	cay
邓	cbh
双	ccy
牯	cdg
甬	cej
牦	cen
劝	cet
圣	cff
牡	cfg
对	cfy
马	cgd
台	ckf
厶	cny
允	cqb
牺	csg
牧	cty
艰	cvy
牝	cxn
叉	cyi
左	daf
耷	dbf
厄	dbv
破	dby
友	dcu
厌	ddi
套	ddu
历	dee
有	def
胡	deg
夯	der
髟	det
矸	dfh
夺	dfu
戌	dgd
厂	dgt
不	dhi
丰	dhk
泵	diu
百	djf
右	dkf
夼	dkj
奋	dlf
砗	dlh
厍	dlk
页	dmu
成	dnv
尢	dnv
矿	dot
灰	dou
达	dpi
克	dqb
矽	dqy
斫	drh
硒	dsg
厅	dsk
故	dty
砬	dug
辜	duj
仄	dwi
矶	dwn
其	dwu
太	dyi
丈	dyi
肛	eag
舁	eaj
孚	ebf
肥	ecn
舀	eef
朋	eeg
肋	eet
肜	eet
肚	efg
肝	efh
肘	efy
且	egd
肤	egy
刖	ejh
加	ekg
胛	elh
力	ent
甩	env
脒	eoy
边	epe
采	esu
脯	esy
妥	evf
办	ewi
臾	ewi
肌	ewn
肪	eyt
卉	faj
邯	fbh
邗	fbh
地	fbn
坡	fby
去	fcu
支	fcu
云	fcu
圭	fff
坩	ffg
寺	ffu
二	fgg
十	fgh
直	fhf
址	fhg
走	fhu
示	fiu
刊	fjh
亓	fjj
井	fjk
吉	fkf
圳	fkh
雷	flf
坝	fmy
亏	fnb
圯	fnn
圮	fnn
声	fnr
志	fnu
圹	fot
赤	fou
过	fpi
元	fqb
无	fqv
圻	frh
耒	fsi
某	fsu
埔	fsy
才	fte
垃	fug
雪	fvf
垠	fvy
坶	fxy
坊	fyt
雯	fyu
坟	fyy
戋	gai
弄	gaj
开	gak
珥	gbg
击	gbk
玻	gby
天	gdi
青	gef
豕	gei
表	geu
于	gfk
正	ghd
下	ghi
丌	gjk
吾	gkf
卅	gkk
责	gmu
亚	god
灭	goi
万	gqe
歹	gqi
兀	gqv
珀	grg
玎	gsh
末	gsi
亍	gsj
麦	gtu
玫	gty
玑	gwn
互	gxd
毒	gxu
玉	gyi
玟	gyy
攴	hcu
虏	hee
肯	hef
步	hhr
卡	hhu
卜	hhy
旧	hjg
卓	hjj
占	hkf
贞	hmu
虑	hni
卢	hnr
忐	hnu
虚	hod
眯	hoy
盯	hsh
眼	hvy
具	hwu
虎	hwv
此	hxn
虔	hyi
江	iag
汇	ian
洱	ibg
凼	ibk
池	ibn
波	iby
汉	icy
沽	idg
尖	idu
肖	ief
尘	iff
泔	ifg
汗	ifh
汁	ifh
汪	igg
泪	ihg
沓	ijf
汨	ijg
汩	ijg
浊	ijy
泗	ilg
油	img
汕	imh
汜	inn
沁	iny
淦	iqg
汐	iqy
泊	irg
沂	irh
汽	irn
洒	isg
汀	ish
浦	isy
沐	isy
少	ite
敝	ity
泣	iug
洋	iuh
当	ivf
汝	ivg
汶	iyy
虹	jag
蛄	jdg
明	jeg
蚝	jen
里	jfd
蚶	jfg
旰	jfh
旱	jfj
时	jfy
昧	jfy
旦	jgf
旺	jgg
蚨	jgy
冒	jhf
刂	jhh
申	jhk
昌	jjf
蛊	jlf
蚰	jmg
虬	jnn
电	jnv
显	jof
旷	jot
炅	jou
蚯	jrg
昕	jrh
晒	jsg
果	jsi
杲	jsu
晡	jsy
昱	juf
蛘	juh
旯	jvb
归	jvg
虮	jwn
蚊	jyy
叩	kbh
邑	kcb
吧	kcn
叹	kcy
咕	kdg
吠	kdy
另	ker
叻	ket
吐	kfg
叶	kfh
味	kfy
呈	kgf
呋	kgy
中	khk
足	khu
卟	khy
虽	kju
吕	kkf
呷	klh
员	kmu
呗	kmy
吣	kny
咪	koy
兄	kqb
听	krh
史	kri
哂	ksg
叮	ksh
呆	ksu
哺	ksy
咩	kuh
叨	kvt
哏	kvy
叽	kwn
只	kwu
叭	kwy
叱	kxn
吆	kxy
唁	kyg
囝	lbd
固	ldd
罟	ldf
轱	ldg
因	ldi
畎	ldy
胃	lef
男	ler
轩	lfh
回	lkd
軎	lkf
轴	lmg
轧	lnn
思	lnu
连	lpk
罗	lqu
斩	lrh
町	lsh
困	lsi
圃	lsi
辅	lsy
畋	lty
囡	lvd
轨	lvn
囚	lwi
詈	lyf
曲	mad
邮	mbh
岜	mcb
岩	mdf
岵	mdg
央	mdi
骨	mef
胄	mef
冉	mfd
巾	mhk
冂	mhn
则	mjh
岬	mlh
岫	mmg
岂	mnb
屺	mnn
迪	mpd
见	mqb
岁	mqu
冈	mri
败	mty
内	mwi
丹	myd
异	naj
羿	naj
民	nav
居	ndd
怙	ndg
尾	nev
导	nfu
忖	nfy
刁	ngd
眉	nhd
疋	nhi
尿	nii
届	nmd
忆	nnn
忌	nnu
乜	nnv
屎	noi
怕	nrg
忻	nrh
忾	nrn
必	nte
改	nty
习	nud
翌	nuf
飞	nui
忉	nvt
尻	nvv
恨	nvy
尼	nxv
尺	nyi
籽	obg
邝	obh
邺	obh
粑	ocn
炻	odg
庆	odi
类	odu
庄	ofd
灶	ofg
黹	oiu
烛	ojy
库	olk
庙	omd
灿	omh
籼	omh
炎	oou
迷	opi
粕	org
粞	osg
灯	osh
床	osi
敉	oty
粒	oug
烊	ouh
庠	ouk
娄	ovf
庀	oxv
字	pbf
宕	pdf
农	pei
守	pfu
军	plj
宙	pmf
官	pnf
廴	pny
灾	pou
宁	psj
宋	psu
宰	puj
宄	pvb
安	pvf
冗	pwb
穴	pwu
它	pxb
冖	pyn
氏	qav
铒	qbg
钌	qbh
铍	qby
色	qcb
勾	qci
钯	qcn
钴	qdg
钥	qeg
角	qej
钐	qet
钳	qfg
钍	qfg
针	qfh
鸟	qgd
鱼	qgf
舛	qgh
钼	qhg
外	qhy
钋	qhy
兆	qii
尔	qiu
旬	qjd
钊	qjh
句	qkd
名	qkf
钏	qkh
甸	qld
钿	qlg
钾	qlh
铀	qmg
岛	qmk
负	qmu
钡	qmy
饣	qnb
